Date,Title,Artist
2016-01-29,Drunk On Your Love,Brett Eldredge
2016-01-29,Bang My Head,David Guetta Featuring Sia & Fetty Wap
2016-02-05,I Took A Pill In Ibiza,Mike Posner
2016-02-05,Walking On A Dream,Empire Of The Sun
2016-02-05,Victorious,Panic! At The Disco
2016-02-05,Death Of A Bachelor,Panic! At The Disco
2016-02-05,Middle,DJ Snake Featuring Bipolar Sunshine
2016-02-05,7 Years,Lukas Graham
2016-02-05,Lean & Dabb,iLoveMemphis
2016-02-12,Work,Rihanna Featuring Drake
2016-02-12,Bake Sale,Wiz Khalifa Featuring Travi$ Scott
2016-02-12,Something In The Way You Move,Ellie Goulding
2016-02-12,I Like The Sound Of That,Rascal Flatts
2016-02-12,My Church,Maren Morris
2016-02-12,Country Nation,Brad Paisley
2016-02-12,Humble And Kind,Tim McGraw
2016-02-12,Bottom Of The Bottle,Curren$Y Featuring August Alsina & Lil Wayne
2016-02-12,Somewhere On A Beach,Dierks Bentley
2016-02-12,Snapback,Old Dominion
2016-02-19,Pillowtalk,Zayn
2016-02-19,Summer Sixteen,Drake
2016-02-19,Hymn For The Weekend,Coldplay
2016-02-19,We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez
2016-02-19,Youth,Troye Sivan
2016-02-19,Needed Me,Rihanna
2016-02-19,Jam,"Kevin Gates Featuring Trey Songz, Ty Dolla $ign & Jamie Foxx"
2016-02-26,Low Life,Future Featuring The Weeknd
2016-02-26,Fly S**t Only,Future
2016-02-26,Jimmy Choo,Fetty Wap
2016-02-26,Ophelia,The Lumineers
2016-02-26,Die A Happy Man,Nelly
2016-02-26,Don't Let Me Down,The Chainsmokers Featuring Daya
2016-02-26,Whisper,Chase Rice
2016-02-26,Little Bit Of You,Chase Bryant
2016-03-04,Make Me Like You,Gwen Stefani
2016-03-04,All I Ask,Adele
2016-03-04,Cheap Thrills,Sia Featuring Sean Paul
2016-03-04,Never Forget You,Zara Larsson & MNEK
2016-03-04,Might Be,DJ Luke Nasty
2016-03-04,Think Of You,Chris Young Duet With Cassadee Pope
2016-03-04,Promise,Kid Ink Featuring Fetty Wap
2016-03-04,That Don't Sound Like You,Lee Brice
2016-03-11,Lost Boy,Ruth B
2016-03-11,Mind Reader,Dustin Lynch
2016-03-11,Look At My Dab,Migos
2016-03-11,The Sound Of Silence,Disturbed
2016-03-11,Wild Things,Alessia Cara
2016-03-11,Saved,Ty Dolla $ign Featuring E-40
2016-03-11,Cut It,O.T. Genasis Featuring Young Dolph
2016-03-11,Panda,Desiigner
2016-03-11,Might Not,Belly Featuring The Weeknd
2016-03-18,Piece By Piece,Kelly Clarkson
2016-03-18,Work From Home,Fifth Harmony Featuring Ty Dolla $ign
2016-03-18,It's You,Zayn
2016-03-18,Hello Friday,Flo Rida Featuring Jason Derulo
2016-03-18,T-Shirt,Thomas Rhett
2016-03-18,Til It Happens To You,Lady Gaga
2016-03-18,Head Over Boots,Jon Pardi
2016-03-25,No,Meghan Trainor
2016-03-25,Came Here To Forget,Blake Shelton
2016-03-25,Try Everything,Shakira
2016-03-25,Untitled 02 l 06.23.2014.,Kendrick Lamar
2016-03-25,American Country Love Song,Jake Owen
2016-03-25,Untitled 07 l Levitate,Kendrick Lamar
2016-03-25,Something New,Zendaya Featuring Chris Brown
2016-03-25,Gotta Lotta,2 Chainz Featuring Lil Wayne
2016-04-01,Dangerous Woman,Ariana Grande
2016-04-01,Like I Would,Zayn
2016-04-01,Ride,Twenty One Pilots
2016-04-01,Light It Up,Major Lazer Featuring Nyla & Fuse ODG
2016-04-01,Fast Car,Jonas Blue Featuring Dakota
2016-04-08,Team,Iggy Azalea
2016-04-08,Be Alright,Ariana Grande
2016-04-08,Body,Dreezy Featuring Jeremih
2016-04-15,Close,Nick Jonas Featuring Tove Lo
2016-04-15,Noise,Kenny Chesney
2016-04-15,With Them,Young Thug
2016-04-15,All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared"
2016-04-15,"Huntin', Fishin' And Lovin' Every Day",Luke Bryan
2016-04-15,Digits,Young Thug
2016-04-15,Moolah,Young Greatness
2016-04-15,New Level,A$AP Ferg Featuring Future
2016-04-15,Uber Everywhere,MadeinTYO
2016-04-22,Pop Style,Drake Featuring The Throne
2016-04-22,One Dance,Drake Featuring WizKid & Kyla
2016-04-22,Famous,Kanye West
2016-04-22,"Father Stretch My Hands, Pt. 1",Kanye West
2016-04-22,Lights Come On,Jason Aldean
2016-04-22,Pt. 2,Kanye West
2016-04-22,Ultralight Beam,Kanye West
2016-04-22,Waves,Kanye West
2016-04-22,Wasted Time,Keith Urban
2016-04-22,Kiss It Better,Rihanna
2016-04-22,FML,Kanye West
2016-04-22,Real Friends,Kanye West
2016-04-22,Come And See Me,PARTYNEXTDOOR Featuring Drake
2016-04-22,Never Be Like You,Flume Featuring Kai
2016-04-22,Feedback,Kanye West
2016-04-22,Record Year,Eric Church
2016-04-29,Messin' Around,Pitbull Featuring Enrique Iglesias
2016-04-29,Law,Yo Gotti Featuring E-40
2016-04-29,Faded,Alan Walker
2016-04-29,Ain't Your Mama,Jennifer Lopez
2016-04-29,If It Ain't Love,Jason Derulo
2016-05-06,Purple Rain,Prince And The Revolution
2016-05-06,When Doves Cry,Prince
2016-05-06,Kiss,Prince And The Revolution
2016-05-06,Little Red Corvette,Prince
2016-05-06,Let's Go Crazy,Prince And The Revolution
2016-05-06,1999,Prince
2016-05-06,Just Like Fire,P!nk
2016-05-06,Wicked,Future
2016-05-06,I Hate U I Love U,gnash Featuring Olivia O'Brien
2016-05-06,You Don't Own Me,Grace Featuring G-Eazy
2016-05-06,Let Me Love You,Ariana Grande Featuring Lil Wayne
2016-05-13,Formation,Beyonce
2016-05-13,Sorry,Beyonce
2016-05-13,Hold Up,Beyonce
2016-05-13,6 Inch,Beyonce Featuring The Weeknd
2016-05-13,Don't Hurt Yourself,Beyonce Featuring Jack White
2016-05-13,Raspberry Beret,Prince And The Revolution
2016-05-13,Freedom,Beyonce Featuring Kendrick Lamar
2016-05-13,Pray You Catch Me,Beyonce
2016-05-13,All Night,Beyonce
2016-05-13,I Would Die 4 U,Prince And The Revolution
2016-05-13,Daddy Lessons,Beyonce
2016-05-13,Sandcastles,Beyonce
2016-05-13,Love Drought,Beyonce
2016-05-13,Forward,Beyonce Featuring James Blake
2016-05-13,Wake Up,Fetty Wap
2016-05-13,Go Flex,Post Malone
2016-05-20,This Is What You Came For,Calvin Harris Featuring Rihanna
2016-05-20,H.O.L.Y.,Florida Georgia Line
2016-05-20,My Boo,Ghost Town DJ's
2016-05-20,Hype,Drake
2016-05-20,Controlla,Drake
2016-05-20,Grammys,Drake Featuring Future
2016-05-20,Still Here,Drake
2016-05-20,U With Me?,Drake
2016-05-20,9,Drake
2016-05-20,With You,Drake Featuring PARTYNEXTDOOR
2016-05-20,Childs Play,Drake
2016-05-20,Too Good,Drake Featuring Rihanna
2016-05-20,Feel No Ways,Drake
2016-05-20,Weston Road Flows,Drake
2016-05-20,Redemption,Drake
2016-05-20,Don't Mind,Kent Jones
2016-05-20,Keep The Family Close,Drake
2016-05-20,Faithful,Drake Featuring Pimp C & dvsn
2016-05-20,True Colors,Zedd & Kesha
2016-05-20,Fire & Desire,Drake
2016-05-20,Views,Drake
2016-05-27,Can't Stop The Feeling!,Justin Timberlake
2016-05-27,Go Ahead And Break My Heart,Blake Shelton Featuring Gwen Stefani
2016-05-27,Into You,Ariana Grande
2016-05-27,Church Bells,Carrie Underwood
2016-06-03,Me Too,Meghan Trainor
2016-06-03,Wherever I Go,OneRepublic
2016-06-03,The Fighter,Keith Urban Featuring Carrie Underwood
2016-06-03,No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz
2016-06-03,THat Part,ScHoolboy Q Featuring Kanye West
2016-06-03,Blessings,Chance The Rapper Featuring Ty Dolla $ign
2016-06-03,I'm Sorry,Adam Wakefield
2016-06-03,Unsteady,X Ambassadors
2016-06-10,Lonesome Broken And Blue,Adam Wakefield
2016-06-10,Love On The Brain,Rihanna
2016-06-10,From The Ground Up,Dan + Shay
2016-06-10,Every Breath You Take,Hannah Huston
2016-06-10,Gold,Kiiara
2016-06-10,With You Tonight / Hasta El Amanecer,Nicky Jam
2016-06-10,Down That Road,Alisan Porter
2016-06-17,Kill Em With Kindness,Selena Gomez
2016-06-17,Peter Pan,Kelsea Ballerini
2016-06-17,Make You Miss Me,Sam Hunt
2016-06-17,Different For Girls,Dierks Bentley Featuring Elle King
2016-06-17,Fix,Chris Lane
2016-06-17,"Sit Still, Look Pretty",Daya
2016-06-24,For Free,DJ Khaled Featuring Drake
2016-06-24,Treat You Better,Shawn Mendes
2016-06-24,Nothing Is Promised,Mike WiLL Made-It x Rihanna
2016-07-01,Champions,"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner"
2016-07-01,Broccoli,D.R.A.M. Featuring Lil Yachty
2016-07-01,Sweatshirt,Jacob Sartorius
2016-07-01,Money Longer,Lil Uzi Vert
2016-07-01,My PYT,Wale
2016-07-01,Toothbrush,DNCE
2016-07-08,Heathens,Twenty One Pilots
2016-07-08,Dark Necessities,Red Hot Chili Peppers
2016-07-08,All In My Head (Flex),Fifth Harmony Featuring Fetty Wap
2016-07-08,What The World Needs Now Is Love,Broadway For Orlando
2016-07-08,Ain't No Stopping Us Now,Kane Brown
2016-07-08,Why You Always Hatin?,YG Featuring Drake & Kamaiyah
2016-07-08,Night's On Fire,David Nail
2016-07-15,Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors"
2016-07-15,I Got The Keys,DJ Khaled Featuring Jay Z & Future
2016-07-15,No Limit,Usher Featuring Young Thug
2016-07-15,She's Got A Way With Words,Blake Shelton
2016-07-15,Luv,Tory Lanez
2016-07-22,M.I.L.F. $,Fergie
2016-07-22,Bored To Death,blink-182
2016-07-22,Brand New,Ben Rector
2016-07-22,Lockjaw,French Montana Featuring Kodak Black
2016-07-22,Flexicution,Logic
2016-07-29,Love Make The World Go Round,Jennifer Lopez & Lin-Manuel Miranda
2016-07-29,Duele El Corazon,Enrique Iglesias Feat. Wisin or Tinashe & Javada
2016-07-29,You Was Right,Lil Uzi Vert
2016-07-29,You & Me,Marc E. Bassy Featuring G-Eazy
2016-07-29,La Bicicleta,Carlos Vives & Shakira
2016-07-29,Lush Life,Zara Larsson
2016-07-29,No Money,Galantis
2016-08-05,Rise,Katy Perry
2016-08-05,Make Me...,Britney Spears Featuring G-Eazy
2016-08-05,Vice,Miranda Lambert
2016-08-05,Girls Talk Boys,5 Seconds Of Summer
2016-08-05,Mama Said,Lukas Graham
2016-08-05,Body Say,Demi Lovato
2016-08-05,No Shopping,French Montana Featuring Drake
2016-08-05,A Little More Summertime,Jason Aldean
2016-08-05,"Wat U Mean (Aye, Aye, Aye)",Dae Dae
2016-08-05,Sex With Me,Rihanna
2016-08-12,Cold Water,Major Lazer Featuring Justin Bieber & MO
2016-08-12,Tiimmy Turner,Desiigner
2016-08-12,Purple Lamborghini,Skrillex & Rick Ross
2016-08-12,Hit Or Miss,Jacob Sartorius
2016-08-12,Back On Road,Gucci Mane & Drake
2016-08-12,1 Night,Lil Yachty
2016-08-12,P**** Print,Gucci Mane Featuring Kanye West
2016-08-12,This Girl,Kungs vs Cookin' On 3 Burners
2016-08-12,It Don't Hurt Like It Used To,Billy Currington
2016-08-12,Middle Of A Memory,Cole Swindell
2016-08-12,Castaway,Zac Brown Band
2016-08-19,Closer,The Chainsmokers Featuring Halsey
2016-08-19,Setting The World On Fire,Kenny Chesney Featuring P!nk
2016-08-19,Holy Key,"DJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright"
2016-08-19,Starving,Hailee Steinfeld & Grey Featuring Zedd
2016-08-19,Chill Bill,Rob $tone Featuring J. Davi$ & Spooks
2016-08-26,Let Me Love You,DJ Snake Featuring Justin Bieber
2016-08-26,Gangsta,Kehlani
2016-08-26,Bohemian Rhapsody,Panic! At The Disco
2016-08-26,Cool Girl,Tove Lo
2016-08-26,Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross"
2016-08-26,You Look Like I Need A Drink,Justin Moore
2016-09-02,Look Alive,Rae Sremmurd
2016-09-02,Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo
2016-09-02,In The Name Of Love,Martin Garrix & Bebe Rexha
2016-09-02,Wishing,"DJ Drama Featuring Chris Brown, Skeme & Lyquin"
2016-09-02,Rock On,Tucker Beathard
2016-09-09,Nikes,Frank Ocean
2016-09-09,Ivy,Frank Ocean
2016-09-09,Pink + White,Frank Ocean
2016-09-09,Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert
2016-09-09,Mercy,Shawn Mendes
2016-09-09,Solo,Frank Ocean
2016-09-09,Nights,Frank Ocean
2016-09-09,I Met A Girl,William Michael Morgan
2016-09-09,Move,Luke Bryan
2016-09-16,Side To Side,Ariana Grande Featuring Nicki Minaj
2016-09-16,May We All,Florida Georgia Line Featuring Tim McGraw
2016-09-16,Grass Ain't Greener,Chris Brown
2016-09-16,OOOUUU,Young M.A
2016-09-16,Wyclef Jean,Young Thug
2016-09-16,Scars To Your Beautiful,Alessia Cara
2016-09-16,I Know Somebody,LOCASH
2016-09-23,The Greatest,Sia Featuring Kendrick Lamar
2016-09-23,Goosebumps,Travis Scott
2016-09-23,Caroline,Amine
2016-09-23,Fade,Kanye West
2016-09-30,Perfect Illusion,Lady Gaga
2016-09-30,Blue Ain't Your Color,Keith Urban
2016-09-30,Deja Vu,Post Malone Featuring Justin Bieber
2016-09-30,Sleep Without You,Brett Young
2016-09-30,Black Beatles,Rae Sremmurd Featuring Gucci Mane
2016-09-30,X,21 Savage & Metro Boomin Featuring Future
2016-10-07,Forever Country,"Artists Of Then, Now & Forever"
2016-10-07,My Way,Calvin Harris
2016-10-07,Starboy,The Weeknd Featuring Daft Punk
2016-10-07,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall
2016-10-07,Key To The Streets,YFN Lucci Featuring Migos & Trouble
2016-10-07,Cancer,Twenty One Pilots
2016-10-14,This Town,Niall Horan
2016-10-14,HandClap,Fitz And The Tantrums
2016-10-14,Song For Another Time,Old Dominion
2016-10-14,Capsize,Frenship & Emily Warren
2016-10-14,CRZY,Kehlani
2016-10-21,All We Know,The Chainsmokers Featuring Phoebe Ryan
2016-10-21,Say It,Flume Featuring Tove Lo
2016-10-21,False Alarm,The Weeknd
2016-10-21,Cranes In The Sky,Solange
2016-10-21,Don't Touch My Hair,Solange Featuring Sampha
2016-10-21,LIFTED,CL
2016-10-21,Fresh Eyes,Andy Grammer
2016-10-21,Wanna Be That Song,Brett Eldredge
2016-10-21,All Eyez,The Game Featuring Jeremih
2016-10-28,24K Magic,Bruno Mars
2016-10-28,Love Me Now,John Legend
2016-10-28,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar
2016-10-28,Today,Brad Paisley
2016-10-28,Million Reasons,Lady Gaga
2016-10-28,PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO
2016-10-28,All Time Low,Jon Bellion
2016-10-28,Ain't My Fault,Zara Larsson
2016-10-28,Kids,OneRepublic
2016-11-04,Blow Your Mind (Mwah),Dua Lipa
2016-11-04,Dirty Laundry,Carrie Underwood
2016-11-04,Bad Things,Machine Gun Kelly x Camila Cabello
2016-11-04,Alone,Marshmello
2016-11-04,80s Mercedes,Maren Morris
2016-11-04,My Sh*t,A Boogie Wit da Hoodie
2016-11-04,How I'll Always Be,Tim McGraw
2016-11-11,Fake Love,Drake
2016-11-11,Hallelujah,Pentatonix
2016-11-11,Sneakin',Drake Featuring 21 Savage
2016-11-11,A-YO,Lady Gaga
2016-11-11,Shout Out To My Ex,Little Mix
2016-11-11,No Heart,21 Savage & Metro Boomin
2016-11-11,Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis
2016-11-11,What They Want,Russ
2016-11-11,Say You Won't Let Go,James Arthur
2016-11-18,Litty,Meek Mill Featuring Tory Lanez
2016-11-18,Better Man,Little Big Town
2016-11-18,Froze,Meek Mill Featuring Lil Uzi Vert & Nicki Minaj
2016-11-18,Offended,Meek Mill Featuring Young Thug & 21 Savage
2016-11-18,"Two Birds, One Stone",Drake
2016-11-18,On The Regular,Meek Mill
2016-11-18,The Difference,Meek Mill Featuring Quavo
2016-11-18,Star Of The Show,Thomas Rhett
2016-11-18,Blue Notes,Meek Mill
2016-11-18,Chantaje,Shakira Featuring Maluma
2016-11-18,Blessed Up,Meek Mill
2016-11-25,Used To This,Future Featuring Drake
2016-11-25,Bounce Back,Big Sean
2016-11-25,Setting Fires,The Chainsmokers Featuring XYLO
2016-11-25,Selfish,PnB Rock
2016-11-25,Kill A Word,Eric Church Featuring Rhiannon Giddens
2016-12-02,Hallelujah,Leonard Cohen
2016-12-02,Me And Your Mama,Childish Gambino
2016-12-02,Bad And Boujee,Migos Featuring Lil Uzi Vert
2016-12-02,We The People....,A Tribe Called Quest
2016-12-02,A Guy With A Girl,Blake Shelton
2016-12-02,Call On Me,Starley
2016-12-09,Party Monster,The Weeknd
2016-12-09,I Feel It Coming,The Weeknd Featuring Daft Punk
2016-12-09,Love On The Weekend,John Mayer
2016-12-09,That's My Girl,Fifth Harmony
2016-12-09,Redbone,Childish Gambino
2016-12-09,That's What I Like,Bruno Mars
2016-12-09,Slumber Party,Britney Spears Featuring Tinashe
2016-12-09,Play That Song,Train
2016-12-09,Infinite,Eminem
2016-12-09,Versace On The Floor,Bruno Mars
2016-12-09,Parachute,Chris Stapleton
2016-12-16,Sidewalks,The Weeknd Featuring Kendrick Lamar
2016-12-16,Reminder,The Weeknd
2016-12-16,Six Feet Under,The Weeknd
2016-12-16,Die For You,The Weeknd & Ariana Grande
2016-12-16,Rockin',The Weeknd
2016-12-16,All I Know,The Weeknd Featuring Future
2016-12-16,Secrets,The Weeknd
2016-12-16,True Colors,The Weeknd
2016-12-16,How Far I'll Go,Auli'i Cravalho
2016-12-16,Stargirl Interlude,The Weeknd Featuring Lana Del Rey
2016-12-16,Attention,The Weeknd
2016-12-16,Nothing Without You,The Weeknd
2016-12-16,A Lonely Night,The Weeknd
2016-12-16,Love To Lay,The Weeknd
2016-12-16,Ordinary Life,The Weeknd
2016-12-16,You're Welcome,Dwayne Johnson
2016-12-16,Distraction,Kehlani
2016-12-16,How Far I'll Go,Alessia Cara
2016-12-16,We Know The Way,Opetaia Foa'i & Lin-Manuel Miranda
2016-12-16,Make Me (Cry),Noah Cyrus Featuring Labrinth
2016-12-23,Black Barbies,Nicki Minaj X Mike WiLL Made-It
2016-12-23,Home,gnash Featuring Johnny Yukon
2016-12-23,False Prophets,J. Cole
2016-12-23,Dirt On My Boots,Jon Pardi
2016-12-23,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie
2016-12-30,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift
2016-12-30,Deja Vu,J. Cole
2016-12-30,Immortal,J. Cole
2016-12-30,Neighbors,J. Cole
2016-12-30,Change,J. Cole
2016-12-30,"She's Mine, Pt. 1",J. Cole
2016-12-30,For Whom The Bell Tolls,J. Cole
2016-12-30,Ville Mentality,J. Cole
2016-12-30,4 Your Eyez Only,J. Cole
2016-12-30,Foldin Clothes,J. Cole
2016-12-30,She's Mine Pt. 2,J. Cole
2016-12-30,Just Hold On,Steve Aoki & Louis Tomlinson
2016-12-30,Everybody Dies,J. Cole
2016-12-30,Darlin' Don't Go,Sundance Head
2016-12-30,Congratulations,Post Malone Featuring Quavo
2016-12-30,At Last,Sundance Head
2017-01-01,Both,Gucci Mane Featuring Drake
2017-01-01,Feliz Navidad,Jose Feliciano
2017-01-01,A Holly Jolly Christmas,Burl Ives
2017-01-01,It's The Most Wonderful Time Of The Year,Andy Williams
2017-01-01,Last Christmas,Wham!
2017-01-01,Party,Chris Brown Featuring Usher & Gucci Mane
2017-01-01,OTW,DJ Luke Nasty
2017-01-01,Red Opps,21 Savage
2017-01-01,Swang,Rae Sremmurd
2017-01-08,Careless Whisper,Wham! Featuring George Michael
2017-01-08,Faith,George Michael
2017-01-08,Moves,Big Sean
2017-01-08,Seein' Red,Dustin Lynch
2017-01-08,iSpy,KYLE Featuring Lil Yachty
2017-01-08,Think A Little Less,Michael Ray
2017-01-08,No Flockin,Kodak Black
2017-01-08,Timeless,A Boogie Wit da Hoodie Featuring DJ SPINKING
2017-01-08,Way Down We Go,KALEO
2017-01-08,Hate U Love U,Olivia O'Brien
2017-01-08,Shaky Shaky,Daddy Yankee
2017-01-15,Sober Saturday Night,Chris Young Featuring Vince Gill
2017-01-15,Beibs In The Trap,Travis Scott
2017-01-15,I Got You,Bebe Rexha
2017-01-15,The Weekend,Brantley Gilbert
2017-01-15,Water,Ugly God
2017-01-22,Shape Of You,Ed Sheeran
2017-01-22,Castle On The Hill,Ed Sheeran
2017-01-22,Location,Khalid
2017-01-22,Drinkin' Too Much,Sam Hunt
2017-01-22,If The Boot Fits,Granger Smith
2017-01-29,Paris,The Chainsmokers
2017-01-29,T-Shirt,Migos
2017-01-29,Not Afraid Anymore,Halsey
2017-01-29,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-01-29,Not Nice,PARTYNEXTDOOR
2017-01-29,Black,Dierks Bentley
2017-01-29,Down,Marian Hill
2017-02-05,Fast,Luke Bryan
2017-02-05,Guys My Age,Hey Violet
2017-02-05,Road Less Traveled,Lauren Alaina
2017-02-05,Issues,Julia Michaels
2017-02-05,Good Drank,2 Chainz x Gucci Mane x Quavo
2017-02-05,Any Ol' Barstool,Jason Aldean
2017-02-05,Dancing On My Own,Calum Scott
2017-02-05,Running Back,Wale Featuring Lil Wayne
2017-02-12,Body Like A Back Road,Sam Hunt
2017-02-12,Slippery,Migos Featuring Gucci Mane
2017-02-12,Kelly Price,Migos Featuring Travis Scott
2017-02-12,Call Casting,Migos
2017-02-12,Run Up,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj
2017-02-12,I'm Better,Missy Elliott Featuring Lamb
2017-02-12,Get Right Witcha,Migos
2017-02-12,Scared To Be Lonely,Martin Garrix & Dua Lipa
2017-02-12,Culture,Migos Featuring DJ Khaled
2017-02-12,El Amante,Nicky Jam
2017-02-12,Some Kind Of Drug,G-Eazy Featuring Marc E. Bassy
2017-02-19,No Favors,Big Sean Featuring Eminem
2017-02-19,Believer,Imagine Dragons
2017-02-19,My Old Man,Zac Brown Band
2017-02-19,Sacrifices,Big Sean Featuring Migos
2017-02-19,Halfway Off The Balcony,Big Sean
2017-02-19,Jump Out The Window,Big Sean
2017-02-19,Owe Me,Big Sean
2017-02-19,Beauty And The Beast,Ariana Grande & John Legend
2017-02-19,I Don't,Mariah Carey Featuring YG
2017-02-19,Now & Later,Sage The Gemini
2017-02-19,In Case You Didn't Know,Brett Young
2017-02-19,Look At Me!,XXXTENTACION
2017-02-19,Light,Big Sean Featuring Jeremih
2017-02-26,Chained To The Rhythm,Katy Perry Featuring Skip Marley
2017-02-26,Cold,Maroon 5 Featuring Future
2017-02-26,Bom Bidi Bom,Nick Jonas & Nicki Minaj
2017-02-26,Shining,DJ Khaled Featuring Beyonce & JAY Z
2017-02-26,Helium,Sia
2017-02-26,Heroe Favorito,Romeo Santos
2017-02-26,Everything 1K,Kodak Black
2017-02-26,Everyday,Ariana Grande Featuring Future
2017-02-26,Rolex,Ayo & Teo
2017-02-26,Cash Me Outside (#CashMeOutside),DJ Suede The Remix God
2017-02-26,It Ain't Me,Kygo x Selena Gomez
2017-02-26,Yeah Boy,Kelsea Ballerini
2017-02-26,Hurricane,Luke Combs
2017-03-05,Tunnel Vision,Kodak Black
2017-03-05,How Would You Feel (Paean),Ed Sheeran
2017-03-05,Love,Lana Del Rey
2017-03-05,Draco,Future
2017-03-05,Mask Off,Future
2017-03-05,Heavy,Linkin Park Featuring Kiiara
2017-03-05,Rent Money,Future
2017-03-05,Something Just Like This,The Chainsmokers & Coldplay
2017-03-05,Super Trapper,Future
2017-03-05,Zoom,Future
2017-03-12,Stay,Zedd & Alessia Cara
2017-03-12,Slide,Calvin Harris Featuring Frank Ocean & Migos
2017-03-12,Selfish,Future Featuring Rihanna
2017-03-12,Comin Out Strong,Future Featuring The Weeknd
2017-03-12,Make Love,Gucci Mane & Nicki Minaj
2017-03-12,Losin Control,Russ
2017-03-12,"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys
2017-03-12,Hometown Girl,Josh Turner
2017-03-12,Green Light,Lorde
2017-03-19,Perfect,Ed Sheeran
2017-03-19,Dive,Ed Sheeran
2017-03-19,Galway Girl,Ed Sheeran
2017-03-19,Happier,Ed Sheeran
2017-03-19,New Man,Ed Sheeran
2017-03-19,Supermarket Flowers,Ed Sheeran
2017-03-19,What Do I Know?,Ed Sheeran
2017-03-19,Eraser,Ed Sheeran
2017-03-19,Hearts Don't Break Around Here,Ed Sheeran
2017-03-19,Barcelona,Ed Sheeran
2017-03-26,No Frauds,Nicki Minaj With Drake & Lil Wayne
2017-03-26,Regret In Your Tears,Nicki Minaj
2017-03-26,Changed It,Nicki Minaj With Lil Wayne
2017-03-26,Chanel,Frank Ocean
2017-03-26,Liability,Lorde
2017-03-26,Prblms,6LACK
2017-04-02,Passionfruit,Drake
2017-04-02,Portland,Drake Featuring Quavo & Travis Scott
2017-04-02,Free Smoke,Drake
2017-04-02,Gyalchester,Drake
2017-04-02,Teenage Fever,Drake
2017-04-02,Sacrifices,Drake Featuring 2 Chainz & Young Thug
2017-04-02,Blem,Drake
2017-04-02,No Long Talk,Drake Featuring Giggs
2017-04-02,Get It Together,Drake Featuring Jorja Smith & Black Coffee
2017-04-02,KMT,Drake Featuring Giggs
2017-04-02,Jorja Interlude,Drake
2017-04-02,4422,Drake Featuring Sampha
2017-04-02,Madiba Riddim,Drake
2017-04-02,Glow,Drake Featuring Kanye West
2017-04-02,Do Not Disturb,Drake
2017-04-02,Nothings Into Somethings,Drake
2017-04-02,Ice Melts,Drake Featuring Young Thug
2017-04-02,Lose You,Drake
2017-04-02,Since Way Back,Drake Featuring PARTYNEXTDOOR
2017-04-02,Skepta Interlude,Drake
2017-04-02,Can't Have Everything,Drake
2017-04-02,At My Best,Machine Gun Kelly Featuring Hailee Steinfeld
2017-04-02,Trap Trap Trap,Rick Ross Featuring Young Thug & Wale
2017-04-02,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign
2017-04-09,The Heart Part 4,Kendrick Lamar
2017-04-09,XO TOUR Llif3,Lil Uzi Vert
2017-04-09,Speak To A Girl,Tim McGraw & Faith Hill
2017-04-09,Still Got Time,Zayn Featuring PARTYNEXTDOOR
2017-04-16,Humble.,Kendrick Lamar
2017-04-16,Craving You,Thomas Rhett Featuring Maren Morris
2017-04-16,Everybody,Logic
2017-04-16,You Look Good,Lady Antebellum
2017-04-16,Tin Man,Miranda Lambert
2017-04-16,Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul"
2017-04-16,First Day Out,Tee Grizzley
2017-04-16,The One,The Chainsmokers
2017-04-16,Conscience,Kodak Black Featuring Future
2017-04-16,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black
2017-04-16,Heatstroke,"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande"
2017-04-16,How Not To,Dan + Shay
2017-04-16,Human,Rag'n'Bone Man
2017-04-23,Sign Of The Times,Harry Styles
2017-04-23,Now Or Never,Halsey
2017-04-23,Unforgettable,French Montana Featuring Swae Lee
2017-04-23,Everyday We Lit,YFN Lucci Featuring PnB Rock
2017-04-23,Cake,Flo Rida & 99 Percent
